id,date,contact,description,cashCheckCC,checkNumber,account,debitAmount,creditAmount,refNumber,typeCode,dailyConfirm
1,2021-05-28,,Edit Inventory Item - Silkie Shampoo 12oz,none,0,120.0 - Inventory,0.00,2.76,69,Inventory,0
2,2021-05-28,,Edit Inventory Item - Silkie Shampoo 12oz,none,0,400.3 - Inventory Adj,2.76,0.00,69,Inventory,0
3,2021-05-28,,Edit Inventory Item - Soft Body Wash 12oz,none,0,120.0 - Inventory,6.18,0.00,78,Inventory,0
4,2021-05-28,,Edit Inventory Item - Soft Body Wash 12oz,none,0,400.3 - Inventory Adj,0.00,6.18,78,Inventory,0
5,2021-05-28,,Edit Inventory Item - Soft Body Wash 12oz,none,0,120.0 - Inventory,0.00,12.36,78,Inventory,0
6,2021-05-28,,Edit Inventory Item - Soft Body Wash 12oz,none,0,400.3 - Inventory Adj,12.36,0.00,78,Inventory,0
7,2021-05-28,,Edit Inventory Item - Soft Body Wash 12oz,none,0,120.0 - Inventory,12.36,0.00,78,Inventory,0
8,2021-05-28,,Edit Inventory Item - Soft Body Wash 12oz,none,0,400.3 - Inventory Adj,0.00,12.36,78,Inventory,0
9,2021-05-28,,Edit Inventory Item - Silkie Shampoo 12oz,none,0,120.0 - Inventory,0.00,11.04,69,Inventory,0
10,2021-05-28,,Edit Inventory Item - Silkie Shampoo 12oz,none,0,400.3 - Inventory Adj,11.04,0.00,69,Inventory,0
11,2021-05-29,,Edit Inventory Item - Jojoba oil,none,0,120.0 - Inventory,0.00,20014.28,23,Inventory,0
12,2021-05-29,,Edit Inventory Item - Jojoba oil,none,0,400.3 - Inventory Adj,20014.28,0.00,23,Inventory,0
13,2021-05-29,,Edit Inventory Item - Silkie Shampoo 12oz,none,0,120.0 - Inventory,11.04,0.00,69,Inventory,0
14,2021-05-29,,Edit Inventory Item - Silkie Shampoo 12oz,none,0,400.3 - Inventory Adj,0.00,11.04,69,Inventory,0
15,2021-05-29,,Recipe Creation - Labor,none,0,120.0 - Inventory,0.00,0.00,13,Recipe,0
16,2021-05-29,,Recipe Creation - Labor,none,0,220.0 - Labor Production,0.00,0.00,13,Recipe,0
17,2021-05-29,,Edit Inventory Item - Caridwen 1.5 oz,none,0,120.0 - Inventory,9.00,0.00,7,Inventory,0
